,Time,Incidence
280,93.35799975585938,0
281,93.693,0
282,94.02799999999999,0
283,94.363,0
284,94.69800024414064,0
285,95.03400024414064,0
286,95.368,0
287,95.704,0
288,96.039,0
289,96.37399975585936,0
290,96.709,0
291,97.044,0
292,97.37899999999999,0
293,97.71400024414062,0
294,98.04899999999999,0
295,98.273,0
296,98.60799999999999,0
297,98.943,0
298,99.27799975585935,0
299,99.613,0
300,99.948,0
301,100.28299999999999,0
302,100.61800024414065,0
303,100.95299999999999,0
304,101.289,0
305,101.624,0
306,101.959,0
307,102.29399975585936,0
308,102.62899999999999,0
309,102.964,0
310,103.29899999999999,0
311,103.63400024414062,0
312,103.969,0
313,104.304,0
314,104.64,0
315,104.97399975585938,0
