Time,pitch,yaw,roll,surge,heave,sway
41.333333,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000
41.666667,2.000000,1.000000,1.000000,1.000000,0.000000,0.000000
42.000000,2.000000,1.000000,1.000000,1.000000,0.000000,2.000000
42.333333,2.000000,1.000000,1.000000,1.000000,0.000000,2.000000
42.666667,2.000000,1.000000,1.000000,1.000000,0.000000,2.000000
43.000000,1.000000,0.000000,1.000000,1.000000,0.000000,2.000000
43.333333,1.000000,2.000000,1.000000,1.000000,0.000000,2.000000
43.666667,1.000000,2.000000,1.000000,1.000000,0.000000,2.000000
44.000000,1.000000,2.000000,1.000000,1.000000,0.000000,2.000000
44.333333,1.000000,2.000000,1.000000,1.000000,0.000000,0.000000
44.666667,1.000000,2.000000,0.000000,0.000000,0.000000,0.000000
45.000000,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
45.333333,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
45.666667,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
46.000000,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
46.333333,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
46.666667,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
47.000000,1.000000,2.000000,2.000000,2.000000,0.000000,2.000000
47.333333,1.000000,2.000000,2.000000,2.000000,0.000000,2.000000
47.666667,1.000000,2.000000,2.000000,2.000000,0.000000,2.000000
48.000000,2.000000,0.000000,2.000000,2.000000,0.000000,2.000000
48.333333,2.000000,1.000000,2.000000,2.000000,0.000000,2.000000
48.666667,2.000000,1.000000,2.000000,2.000000,0.000000,2.000000
49.000000,2.000000,1.000000,2.000000,2.000000,0.000000,2.000000
49.333333,2.000000,1.000000,0.000000,2.000000,0.000000,0.000000
49.666667,2.000000,1.000000,1.000000,2.000000,0.000000,0.000000
50.000000,2.000000,1.000000,1.000000,2.000000,0.000000,0.000000
50.333333,2.000000,1.000000,1.000000,2.000000,0.000000,0.000000
50.666667,2.000000,1.000000,1.000000,2.000000,0.000000,0.000000
51.000000,2.000000,1.000000,1.000000,2.000000,0.000000,0.000000
51.333333,2.000000,1.000000,1.000000,2.000000,0.000000,0.000000
51.666667,2.000000,1.000000,1.000000,2.000000,0.000000,0.000000
52.000000,2.000000,1.000000,1.000000,2.000000,0.000000,1.000000
52.333333,2.000000,1.000000,1.000000,2.000000,0.000000,1.000000
52.666667,2.000000,1.000000,1.000000,2.000000,0.000000,1.000000
53.000000,1.000000,0.000000,1.000000,2.000000,0.000000,1.000000
53.333333,1.000000,2.000000,1.000000,2.000000,0.000000,1.000000
53.666667,1.000000,2.000000,1.000000,2.000000,0.000000,1.000000
54.000000,1.000000,2.000000,0.000000,2.000000,0.000000,1.000000
54.333333,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
54.666667,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
55.000000,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
55.333333,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
55.666667,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
56.000000,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
56.333333,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
56.666667,1.000000,2.000000,2.000000,2.000000,0.000000,0.000000
57.000000,1.000000,2.000000,2.000000,2.000000,0.000000,2.000000
57.333333,1.000000,2.000000,2.000000,2.000000,0.000000,2.000000
57.666667,1.000000,2.000000,2.000000,2.000000,0.000000,2.000000
58.000000,2.000000,0.000000,2.000000,2.000000,0.000000,2.000000
58.333333,2.000000,1.000000,2.000000,2.000000,0.000000,2.000000
58.666667,2.000000,1.000000,0.000000,2.000000,0.000000,2.000000
59.000000,2.000000,1.000000,1.000000,2.000000,0.000000,2.000000
59.333333,2.000000,1.000000,1.000000,2.000000,0.000000,0.000000
59.666667,2.000000,1.000000,1.000000,2.000000,0.000000,0.000000
60.000000,2.000000,1.000000,1.000000,2.000000,0.000000,0.000000
