Time,MP Entropy,Incidence
71.353000,-47.229823,0.000000
71.688000,-47.473626,0.000000
72.023000,-45.702663,0.000000
72.358000,-46.875130,0.000000
72.693000,-74.030838,0.000000
73.028000,-72.301751,0.000000
73.363000,-43.827178,0.000000
73.698000,-43.864718,0.000000
74.033000,-46.453328,0.000000
74.369000,-46.405924,0.000000
74.704000,-46.686391,0.000000
75.040000,-22.046733,0.000000
75.374000,-22.174211,0.000000
75.709000,-22.113873,0.000000
76.044000,-22.436212,0.000000
76.379000,-22.684287,0.000000
76.714000,-73.607111,0.000000
77.049000,-74.578395,0.000000
77.273000,-78.132709,0.000000
77.608000,-73.508784,0.000000
77.943000,-77.001669,0.000000
78.278000,-78.648941,0.000000
78.613000,-78.486396,0.000000
78.949000,-77.618820,0.000000
79.283000,-47.370520,0.000000
79.619000,-47.087793,0.000000
79.954000,-47.536211,0.000000
80.289000,53.088102,0.000000
80.624000,-20.309158,0.000000
80.959000,-20.389673,0.000000
81.294000,-20.094924,0.000000
81.630000,-20.811310,0.000000
81.964000,44.329249,0.000000
82.299000,-46.469666,0.000000
82.634000,-47.433382,0.000000
82.970000,-46.460166,0.000000
83.305000,-46.275105,0.000000
83.640000,-75.560427,0.000000
83.975000,-75.776236,0.000000
84.310000,-73.801483,0.000000
84.645000,-73.592746,0.000000
84.980000,-22.801829,0.000000
85.315000,-21.982036,0.000000
85.650000,-22.370529,0.000000
85.985000,-22.079976,0.000000
86.321000,-22.676627,0.000000
86.656000,-73.069757,0.000000
86.991000,-44.094697,0.000000
87.326000,-43.921423,0.000000
87.661000,-44.369858,0.000000
87.996000,-45.028459,0.000000
88.331000,-74.407487,0.000000
88.666000,-75.685440,0.000000
89.001000,-76.501575,0.000000
89.336000,-77.536799,0.000000
89.672000,-79.210818,0.000000
90.006000,-20.365112,0.000000
90.341000,-20.414026,0.000000
90.676000,8.763377,0.000000
91.011000,2.030308,0.000000
91.347000,1.116972,0.000000
91.681000,-47.869302,0.000000
92.017000,-76.482126,0.000000
92.352000,-77.386674,0.000000
92.687000,-78.023984,0.000000
93.022000,-76.399641,0.000000
93.357000,-74.395151,0.000000
93.692000,-76.009315,0.000000
94.028000,-47.123202,0.000000
94.363000,-45.577505,0.000000
94.698000,-46.604057,0.000000
95.032000,-45.380753,0.000000
95.368000,-47.202658,0.000000
95.703000,-77.584477,0.000000
96.038000,-78.414200,0.000000
96.373000,-80.344616,0.000000
96.708000,-77.328420,0.000000
97.043000,-78.801742,0.000000
97.378000,-75.635493,0.000000
97.713000,-80.074996,0.000000
98.049000,-77.872229,0.000000
98.383000,-78.874445,0.000000
98.607000,-88.010979,0.000000
98.942000,-79.621920,0.000000
99.277000,-46.869733,0.000000
99.613000,1.179623,0.000000
99.947000,1.118819,0.000000
100.283000,4.174137,0.000000
100.618000,-20.914483,0.000000
100.953000,-22.029247,1.000000
101.288000,-21.931011,3.000000
101.623000,-80.531991,2.000000
101.958000,-77.664905,0.000000
102.293000,-78.525748,0.000000
102.629000,-72.968319,0.000000
102.964000,-72.230482,0.000000
103.299000,-74.851399,0.000000
103.634000,-74.791075,0.000000
103.969000,-74.315676,0.000000
104.304000,-76.764411,0.000000
104.639000,-75.874779,0.000000
104.974000,-78.390565,0.000000
